recording_id,label,source
a0001,1,training-a
a0002,1,training-a
a0003,1,training-a
a0004,1,training-a
a0005,1,training-a
a0006,1,training-a
a0007,0,training-a
a0008,1,training-a
a0009,0,training-a
a0010,1,training-a
a0011,0,training-a
a0012,0,training-a
a0013,1,training-a
a0014,1,training-a
a0015,1,training-a
a0016,0,training-a
a0017,1,training-a
a0018,1,training-a
a0019,0,training-a
a0020,1,training-a
a0021,1,training-a
a0022,1,training-a
a0023,1,training-a
a0024,1,training-a
a0025,0,training-a
a0026,1,training-a
a0027,0,training-a
a0028,0,training-a
a0029,0,training-a
a0030,1,training-a
a0031,1,training-a
a0032,0,training-a
a0033,1,training-a
a0034,1,training-a
a0035,0,training-a
a0036,1,training-a
a0037,1,training-a
a0038,0,training-a
a0039,1,training-a
a0040,1,training-a
a0041,1,training-a
a0042,1,training-a
a0043,1,training-a
a0044,1,training-a
a0045,1,training-a
a0046,1,training-a
a0047,1,training-a
a0048,1,training-a
a0049,0,training-a
a0050,0,training-a
a0051,1,training-a
a0052,1,training-a
a0053,0,training-a
a0054,1,training-a
a0055,0,training-a
a0056,1,training-a
a0057,1,training-a
a0058,1,training-a
a0059,1,training-a
a0060,1,training-a
a0061,1,training-a
a0062,1,training-a
a0063,1,training-a
a0064,1,training-a
a0065,1,training-a
a0066,1,training-a
a0067,1,training-a
a0068,0,training-a
a0069,0,training-a
a0070,0,training-a
a0071,0,training-a
a0072,1,training-a
a0073,1,training-a
a0074,1,training-a
a0075,1,training-a
a0076,1,training-a
a0077,1,training-a
a0078,1,training-a
a0079,1,training-a
a0080,0,training-a
a0081,0,training-a
a0082,1,training-a
a0083,1,training-a
a0084,1,training-a
a0085,0,training-a
a0086,0,training-a
a0087,1,training-a
a0088,0,training-a
a0089,1,training-a
a0090,1,training-a
a0091,0,training-a
a0092,1,training-a
a0093,0,training-a
a0094,0,training-a
a0095,1,training-a
a0096,1,training-a
a0097,1,training-a
a0098,1,training-a
a0099,1,training-a
a0100,1,training-a
a0101,1,training-a
a0102,0,training-a
a0103,1,training-a
a0104,1,training-a
a0105,0,training-a
a0106,0,training-a
a0107,1,training-a
a0108,0,training-a
a0109,0,training-a
a0110,1,training-a
a0111,1,training-a
a0112,1,training-a
a0113,1,training-a
a0114,1,training-a
a0115,1,training-a
a0116,1,training-a
a0117,1,training-a
a0118,0,training-a
a0119,1,training-a
a0120,1,training-a
a0121,1,training-a
a0122,1,training-a
a0123,1,training-a
a0124,1,training-a
a0125,0,training-a
a0126,1,training-a
a0127,0,training-a
a0128,1,training-a
a0129,0,training-a
a0130,1,training-a
a0131,1,training-a
a0132,1,training-a
a0133,1,training-a
a0134,1,training-a
a0135,1,training-a
a0136,0,training-a
a0137,1,training-a
a0138,1,training-a
a0139,0,training-a
a0140,0,training-a
a0141,0,training-a
a0142,1,training-a
a0143,1,training-a
a0144,1,training-a
a0145,1,training-a
a0146,1,training-a
a0147,1,training-a
a0148,1,training-a
a0149,1,training-a
a0150,1,training-a
a0151,1,training-a
a0152,1,training-a
a0153,0,training-a
a0154,0,training-a
a0155,0,training-a
a0156,1,training-a
a0157,1,training-a
a0158,1,training-a
a0159,1,training-a
a0160,1,training-a
a0161,0,training-a
a0162,1,training-a
a0163,1,training-a
a0164,1,training-a
a0165,0,training-a
a0166,1,training-a
a0167,1,training-a
